name,ring,quadrant,isNew,description
Four key metrics,Adopt,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Platform engineering product teams,Adopt,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Zero trust architecture,Adopt,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Auto ML,Trial,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
No-Code AI,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Living documentation in legacy systems,Trial,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Micro frontends for mobile,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Green IT,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Cyber AI,Trial,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Team cognitive load,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Cyber Security,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Hotwire,Assess,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Operator pattern for nonclustered resources,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Cloud Security,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Software Bill of Materials,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Peer review equals pull request,Hold,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Production data in test environments,Hold,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Backstage,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
AWS Snow Family,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
AWS IoT Greengrass,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
GitHub Actions,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
K3s,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
Azure Stack Edge,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
MirrorMaker 2.0,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
OPA Gatekeeper for Kubernetes,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Azure Edge Zone,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
Sealed Secrets,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Google Distributed Cloud,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Weights & Biases,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Azure Cognitive Search,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
